[po4_discharge];[no3_discharge];[no2_discharge];[o2_discharge];[sio2_discharge];[tn_discharge];[na_discharge];[k_discharge];[mg_discharge];[ca_discharge];[cl_discharge];[so4_discharge];[co3_discharge];[hco3_discharge];[nh4_discharge];[chl_a_discharge];[br_discharge];[alk_discharge])
1573.3225806452;47087.571428571;1865.5;37858.4375;48920.357142857;59842.142857143;617311.22270742;108704.23580786;86162.469135802;176784.77664088;584697.6022567;216809.10792265;0;1539640;12244.857142857;70706;124.98734177215;172667
1554.9677419355;43258.285714286;1795.5714285714;33739.59375;47106.785714286;55057.857142857;607386.11353712;105827.03056769;77879.917695473;168335.06363863;595025.66995769;202944.47910168;0;1419266.6666667;12450.857142857;63203.928571429;117.6582278481;157578
1546.4838709677;42694.071428571;1793.3571428571;33621.8125;46465.357142857;55209.285714286;609902.27074236;105626.89956332;78201.604938272;167539.60569004;595893.93511989;203190.89207735;0;1417436.6666667;12417.642857143;63819.785714286;116.88607594937;157344
657.35483870968;40890.714285714;799.85714285714;37430.9375;43376.071428571;435672.35714286;669455.24017467;6698.1659388646;64851.728395062;204548.41527327;565123.55430183;259145.35246413;0;1260617;8060.1428571429;69966.714285714;109.40506329114;150573
630.25806451613;39262.142857143;765.28571428571;35816.0625;42038.928571429;402720.35714286;638457.51091703;6378.0786026201;62340.452674897;195232.26853007;539488.0112835;248091.07922645;0;1209621;7733.1428571429;67014.428571429;104.94936708861;144489
617.87096774194;38237.857142857;752.28571428571;34360.90625;41260.357142857;367152.57142857;630821.09170306;6083.3187772926;60236.790123457;188368.13077115;537683.77997179;243549.59451029;0;1166494;7591.5714285714;64062.571428571;102.27848101266;139359
592.38709677419;38170.714285714;719.92857142857;35587.65625;40883.928571429;364781.78571429;581323.05676856;6314.7598253275;61045.925925926;189872.74769154;488463.75176305;235848.40923269;0;1197940.3333333;7230.2142857143;65421.357142857;109.89873417722;143090
582;36890;715.78571428571;34565.78125;40044.642857143;352040.92857143;574313.88646288;6118.6026200873;59421.769547325;185373.42151235;487096.47390691;232392.38927012;0;1168782.3333333;7194.0714285714;63563.214285714;107.60759493671;139603
541.67741935484;35800.714285714;656.28571428571;34384.3125;39287.5;336859.42857143;505003.40611354;6089.6506550218;58792.222222222;179201.94659346;420276.72778561;215561.44728634;0;1156440;6628.9285714286;62707.214285714;106.07594936709;138108
558.45161290323;37853.571428571;663.42857142857;35966.25;40823.928571429;359099;515311.35371179;6376.0262008734;61539.053497942;186168.75467931;422291.39633286;220745.47723019;0;1203184.6666667;6743.0714285714;65557.928571429;108.37974683544;143704
557.29032258065;37806.428571429;659.57142857143;35685.46875;40801.428571429;355111.78571429;514689.2139738;6324.8034934498;61269.670781893;184850.38682306;421902.96191819;219706.79975047;0;1194217.6666667;6709.4285714286;65007.642857143;106.78481012658;142639
573.87096774194;34442.857142857;739.85714285714;32895.09375;39212.5;355189.85714286;576552.83842795;5822.6637554585;57114.156378601;180538.38283005;507977.99717913;231547.09918902;0;1127463.3333333;7482.7857142857;59058.642857143;102.24050632911;134656
585.8064516129;35885;734.78571428571;33434.78125;40148.214285714;352794.5;586670.56768559;5913.5371179039;58381.399176955;182447.74145246;508930.32440056;233646.28820961;0;1141391.6666667;7433.0714285714;60842.357142857;101.77215189873;136336
638.38709677419;39991.428571429;779.07142857143;36551.84375;44017.142857143;375997.28571429;634795.41484716;6448.864628821;64079.465020576;197761.84177689;541177.43300423;251868.37180287;0;1242668.6666667;7903.4285714286;67503.642857143;109.10126582278;148449
493.8064516129;43370.714285714;470.14285714286;45302.90625;51131.071428571;325418.64285714;239528.90829694;7926.3318777293;77934.732510288;198635.23833292;117261.77715092;178955.08421709;0;1488505.6666667;5185.7857142857;84395.214285714;121.22784810127;177646
978.41935483871;72849.642857143;1067.8928571429;67176.4375;85111.785714286;537046.39285714;761896.50655022;11198.318777293;122336.37860082;326818.46768156;587706.06488011;365082.65751716;0;2288329.1666667;12300.928571429;124737.64285714;171.38607594937;273481
1109.7741935484;82728.928571429;1133.25;79827.1875;88593.214285714;646866.03571429;878653.75545852;14321.593886463;135507.03703704;382381.95657599;610786.17771509;414998.4404242;0;2613666.8333333;11068.214285714;156839.57142857;232.51265822785;311953
1851.1290322581;129856.78571429;2093.25;131980.0625;127530;1068782.8928571;1673930.3930131;23904.170305677;208178.64197531;654875.01871724;1240051.6220028;748233.00062383;0;4293487.5;18925.285714286;260560;474.31012658228;512307
1981.3225806452;146358.21428571;2144.6785714286;145623.40625;135348.21428571;1417806.6071429;1779487.2925764;26729.148471616;229125.18518519;719517.91864238;1262262.0592384;789143.79288833;0;4657694.1666667;19588.571428571;284587;488.27215189873;555839
1788.3548387097;140343.92857143;1785.8214285714;132782.71875;123749.28571429;1367861.4642857;1583938.209607;24412.161572052;211573.49794239;648994.03543798;1059159.0973202;691766.99937617;0;4192254.8333333;16613.785714286;260289.64285714;412.23417721519;500484
1528.2258064516;119331.07142857;1486.5357142857;108342.5625;106307.5;1041707.9642857;1373748.8209607;19738.27510917;176237.8600823;531228.72473172;926595.48660085;581670.30567686;0;3436363.1666667;13978.928571429;215095.78571429;329.37341772152;410369
1345.7419354839;103684.28571429;1303.5;92035.34375;93448.571428571;789111.35714286;1228916.8995633;16595.938864629;151190.86419753;452654.60444223;841651.33991537;510948.22208359;0;2938060.3333333;12224.714285714;185125.92857143;286;350926
1247.6451612903;97209.642857143;1167.1785714286;84114.96875;86983.214285714;681322.53571429;1140083.5371179;15070.807860262;139470.49382716;411828.05091091;767576.58674189;467624.76606363;0;2683447.1666667;11005.928571429;171739;257.43670886076;320576
1048.3225806452;87436.428571429;920.14285714286;76530.15625;76990.357142857;587888.85714286;894272.62008734;13660.218340611;125792.42798354;362791.41502371;551644.56981664;389706.79975047;0;2420325.3333333;8736.3571428571;155389.28571429;233.13924050633;289149
957.87096774194;80763.571428571;837.85714285714;70962.8125;71238.928571429;547523;805467.72925764;12666.943231441;116578.27160494;335084.27751435;491915.93794076;356222.70742358;0;2242756;7990.3571428571;143018.85714286;215.46835443038;267938
900.41935483871;76511.071428571;781.89285714286;67379.1875;67633.928571429;518744.46428571;747692.70742358;12032.641921397;110714.1563786;316922.53556277;451165.30324401;334231.12913288;0;2128026.8333333;7464.9285714286;135442.14285714;203.70253164557;254228
